Question,Type,Response
Culture Analysis,Improve,"""Culture"" seems to be missing at the Reds. No employee acts as if they are extremely excited to be here and there is a lack of energy within the office. 
-More events to pump people up and personalized ""Great job"" messages from leadership to show that employees come first.
-Better recruiting and creation of a sense of belonging for diverse and young talent
-Unconscious bias training and create procedures to reduce workplace gossiping with tenured employees"
Reward & Recognition,Improve/Good,$$$$ is the most effective way to reward hard work
Culture Analysis,Improve,"1) Lead by example. LIVE the culture you want for the organization.

2) Don't email your employees while on maternity/paternity leave, for any reason. And if you do, do not expect a response. 

3) Hold all staff accountable in a productive and positive manner. We're all adults, and yelling or getting angry typically isn't an effective approach. (I'm not saying it happens often, but I'm not sure why it happens at all.)

4) Create an onboarding process for all employees across the organization. Share it with all managers, hiring managers, etc. A checklist that also identifies who/which department is responsible for doing each task.

5) Create more Business Resource Groups, including a Womens BRG."
Better Place to Work Analysis,Improve/Good,"1) Leaders need to listen with the intent to learn. (We don't know what we don't know.) Do not interrupt. Do not assume you know the right answer. Trust your employees that are in the trenches doing the work.

2) Embrace the dual income household. Many of our employees have a spouse that stays home, but more are beginning to share the parenting and household duties. Some don't have family in town to help out; some do. Don't assume you know each employee's situation. 

3) Don't intentionally or unintentionally make a working parent feel guilty if they have to leave early to pick up a kid or if they're dealing with a sick child. As managers, you know if your employees are pulling their weight and getting their work done. Don't make snide comments when they're already stressed as it is. Give grace to your employees, and it will likely repay in dividends. 

4) The leadership team needs more diversity (not just race) in order to thrive. There needs to be more differing viewpoints from the top. This goes for the core executive team of four and the leadership group that meets every week.
"
Morale Analysis,Improve/Good,"1) Provide as much job clarity as possible. 

2) Celebrate the wins, both big and small. 

3) Pay entry level employees higher wages. 

4) Learn what makes your employees tick, and do what you can to build upon that. Everyone is motivated by different things.

5) If an employee is ""rewarded"" with additional responsibilities, ensure they are compensated accordingly. 

6) Consider prorated PTO days in the transition year. If an employee started in March, don't make that person wait until January 1 of the following year to receive their additional PTO."
Culture Analysis,Improve,"1. CREATE A WOMEN'S ERG: It is surprising to me that we do not have this already. I would have prioritized this over a working parents group. 

2.	WORK FROM HOME 1 DAY/WEEK: Instill a structured work from home policy for at least 1 day a week & offer more vacation days for entry-level staff. 10 (less than 1 day/month) is not healthy or realistic. The week between Christmas & New Years & national holidays add value, but 10 days to use at your will is not enough & not helpful in recruitment or when trying to avoid burnout.

3.	SUMMER FRIDAYS: For those that work games, having non-gameday Fridays off during the season would go a long way. I know that some other teams do this, and this would allow people to catch up on the time they miss at home throughout the season. 

4.	ENCOURAGE FEEDBACK: I am not asking for more annual/bi-annual reviews. However, we do not have any review processes in place for leadership/executives. I think it would be great to have individuals review the managers that they report to. That said, I am not sure the best way to give leadership feedback without the fear of retaliation/retributions. 

5.	LEADERSHIP TRAINING: Train your leaders on a consistent basis. I believe there are some outside resources that VP-level & higher have been given opportunities. That should be made available to all leadership (or the entire staff) to continue to develop our young leaders & great professionals in general.
"
Better Place to Work Analysis,Improve/Good,"1. Improve transparency
2. Spend more money on the team
3.Improve marketing to get more fans to games"
Morale Analysis,Improve,"1.	HONEST APPRECIATION: We all work hard & when we are criticized for taking a vacation (joking or not) or aggressively shot down/cussed at while presenting on a topic we have spent countless hours preparing for is not acceptable. Mutual respect & appreciation can go a long way. 

2.	ELIMINATE THE LOCKER ROOM CULTURE/MENTALITY: We all enjoy each other & have a great time, but when this office is referred to as a locker room (when we truly only have access to a locker room for the men in the office) it excludes women & can make everyone uncomfortable.

3.	BE WILLING & OPEN TO CHANGE: This workforce is not the same as it was 20-30 years ago. We need to adapt, or we will fail. 

4.	TRUST YOUR TEAM: There is a lack of trust at the Executive level & this creates a fear-based/CYA culture. I do not trust that the executive leadership at the Reds always has my best interests at heart. At times, they make our jobs harder. We have a lot of very intelligent people running our departments & I wish we placed more faith in them to lead as they see fit. Micromanaging does not do anyone good.

5.	EMPOWER YOUR STAFF: We have great people that work for the Reds. Trust them to manage themselves as adults & get their jobs done in whatever way makes sense for that individual. This can come in the form of working from home, promoting members of their team, flexible office hours, etc.
"
Culture Analysis,Improve/Good,4 day work week
Morale Analysis,Improve/Good,4 day work week
Better Place to Work Analysis,Improve/Good,4 day work week
Reward & Recognition,Improve,"A Bonus, if the person deserves one. A bonus goes a long way for a person. "
Reward & Recognition,Improve/Good,"A Bonus, if the person deserves one. A bonus goes a long way for a person. "
Reward & Recognition,Improve/Good,"A greater emphasis needs to be placed on performance-based rewards. This may vary from employee to employee or department to department, but everyone appreciates when their hard work is acknowledged (although not everyone wants PUBLIC recognition). Some ideas include: a celebratory lunch, an unexpected afternoon off, a handwritten thank you note with a candy bar or a gift card for a coffee (or anything personalized that you know that specific employee would like). It's often more about the thought put into the recognition than anything else."
Morale Analysis,Improve/Good,A high five is alway appreciated.  Make sure you show appreciation for jobs well done. 
Better Place to Work Analysis,Improve/Good,A hybrid remote work schedule
Better Place to Work Analysis,Improve/Good,"A more structured training program for new employees tailored to each department. Clear communications on responsibilities and expectations. Weekly checkpoints throughout training process.
"
Better Place to Work Analysis,Improve/Good,A thin workforce takes away opportunities for organizational growth and creativity. I would be sure to add depth where it is needed to add productivity and efficiency while also lessening burnout potential.
Culture Analysis,Improve/Good,"A work from home option would be beneficial. With long days & weird hours when the team is in town - it would be nice to be able to catch up on life (laundry - errands etc) while still being available to help clients. It would be much more restful if in the middle of a homestand (like the 10 game set in July) if we could take a day at home between long evenings at the ballpark.
I appreciate the empowerment to make decisions from my supervisor. It is good to feel that support."
Reward & Recognition,Improve/Good,Ability for employees outside of Cinci to visit GABP for a game.
Better Place to Work Analysis,Improve/Good,"Actuate more cross learning. For example in scouting, an analytics dept person should spend time with a scout on the road for a week a few times a year. They should share their views of the game and teach each other some of the tricks of their trade in order to help one another form both a personal bond, but also a better understanding of the other persons viewpoint. There are surely many beneficial pairings. Also perhaps if an employee would like to learn more about another role within the org that they are interested in, maybe even moving to, we could make that happen. "
Morale Analysis,Improve/Good,"Adding depth to the ranks frees up time, takes pressure off people, and makes the busy times a little better, which is noticed by the customers and fans and results in a better experience for all."
Culture Analysis,Improve/Good,Address areas of need with realistic fixes that will actually help the issues that we have with staffing and facilities. 
Better Place to Work Analysis,Improve,"Address management issues. When departments are losing 30%-50% of their staff in a short time, there is a reason for it. Correct the issue. Not everything is about money. And using the phrases ""it was time for that person to go"" or ""we couldn't compete with that offer"" feels like an excuse. Some people want to feel valued and needed. Even if in the big picture everyone is replaceable, they do not want to hear it. "
Morale Analysis,Improve/Good,Adjust reward system across the board.
Culture Analysis,Improve/Good,"After being part of this organization now for a couple of years, I can't really identify what our Reds culture is. It's actually fairly easy to see/observe that our Major League team led by the coaching staff, in particular, have shown a Reds way as they seem to really care about the players & staff as people, putting family first, and always seem earnest to strive to get better through ingenuity as well, but it doesn't always feel that way in other areas. We are a small market team but with a big heart and I'm proud to work with the Reds, especially when we emphasize the impact we are making on the community at-large, but would love to see that family/community applied more to other departments and areas outside the Major League team.  "
Reward & Recognition,Improve/Good,Again cut down the number of platforms so the information is allocated to one area and everyone sees the same information
Morale Analysis,Improve,"Again, seeing some fresh, representative faces in the traditional leadership circles could help raise the perception of a low ceiling of growth.  Leaders making occasional rounds to different departments with no agenda other than connection."
Culture Analysis,Very Good,All good 
Reward & Recognition,Improve/Good,"All items listed above are rushed in presentation.   Slow down and make it memorable!    Christmas and pre-season lunch are always rushed and not heartfelt.   Same format each year on company picnic, christmas lunch, christmas gifts, etc. - mix it up!   Big anniversaries are presented months after the fact.     Birthday and anniversary cards via mail check the box, but when Phil signs it and an HR staff member writes name on top, does not appear heartfelt. 

Would rather have less, with attempt to have more meaning behind.     
"
Culture Analysis,Improve/Good,Allowing more input from departments/ recommendations from younger demographic. 
Better Place to Work Analysis,Improve/Good,"Almost all of my suggestions fit into another area in this survey.  The only suggestion that I have that fits in this bucket is:
Look at changing our business hours to end at 5pm.
"
Culture Analysis,Very Good,Also good here. Given freedom to complete my work as necessary. 
Reward & Recognition,Improve/Good,Annual Employee Awards.  There could be several outlined awards each year.  Employees are nominated by their departments.  A committee would then narrow down finalists.  The organization holds an annual ceremony celebrating the finalists and announcing the winner of each award.  Winners would receive an award and a bonus or prize of value.
Reward & Recognition,Improve/Good,Any acknowledgement is good.
Reward & Recognition,Improve/Good,"Any reward or recognition feels fake if executive leadership considers your work replaceable, if they can't be bothered to learn long-tenured staff's names.

I would love to hear regular communication showcasing the good work our team does.  Not only the ""thank you"" slides in all staff luncheons, but regular updates throughout the year when goals are met.  For instance: did Corporate Sales hit its goal? Did Ticketing? What kind of projects is Baseball Ops working on? How is IT making us better, faster, more efficient? We should celebrate the work that ties us together.

Additionally, the Reds Rewards statement we got in the mail was the opposite of empowering.   My spouse called it ""gaslighting"". If the organization is proud of how it compensates staff, it shouldn't have to remind them with a detailed statement that even calls a holiday gift part of our compensation."
Reward & Recognition,Improve/Good,"Applies to previous answer
Being recognized by your peers and organizational always feels good. "
Reward & Recognition,Improve/Good,"Applies to previous answer
Being recognized by your peers and organizational always feels good. "
Better Place to Work Analysis,Improve/Good,"As a scout with the Reds, I dont have much contact or spend any time at the ball park and offices. The bulk of my time is spent on the road. I feel the scouting group works and interacts well  together as such I cant offer any further suggestions relative to the workplace."
Morale Analysis,Improve/Good,"As I mentioned above, the ability to be able to flex hours is crucial to our success both personally and professionally. I think catering various lunches and meals to the staff would also be greatly appreciated. "
Better Place to Work Analysis,Improve,"As we talked about completing this survey amongst our peers, we were all very hesitant. It is a general feeling1) we don't believe this survey is anonymous 2) we fear there will be repercussions, retaliation and finger pointing based on the results

This is a big red flag for the lack of trust in our organization. A lack of trust in the workplace really hard on our workplace culture. It begins with senior leadership and spreads throughout the team, leading to a cycle of unhealthy responses that affect engagement and productivity."
Culture Analysis,Improve/Good,"At the start of the calendar year, have an all-staff meeting that presents the goals for the organization. 
Look into changing our annual reviews to be more useful to supervisors and employees.  

"
Reward & Recognition,Improve/Good,"Authentically focus on individual/organizational successes rather than failures or challenges.  Positive news, celebrations, appreciation all will help.  "
Reward & Recognition,Improve/Good,Awards are nice financial award is nicer
Reward & Recognition,Improve/Good,Baseball ops and Business ops are different animals.  Baseball ops lives on an uncertain future lifestyle with one year contracts.  Newsletters and the like don't move the meter when you are constantly unsure of your future.  There needs to be something that baseball ops personnel can hang their hat on. Not sure what the answer is quite honestly but it isn't going to be getting an anniversary slack message.  
Morale Analysis,Improve/Good,"Based on the past, I believe the Reds should go back to catering lunch for the staff at least once a month. These lunches allow for departments to interact in a relaxed setting and help build connections.  

I also think that HYPE giveaways have gone away. More concerts, experience raffles would be nice, as that is what we try to sell to other organizations on the Reds behalf."
Culture Analysis,Improve/Good,Be a professional at all times.
Culture Analysis,Improve/Good,Be able to physically grow our in-person team so more people can gain access to training and experiences best learned on campus. This requires more offices and office space. 
Reward & Recognition,Improve/Good,"Be consistent, some departments ar thanked and congratulated frequently and some never.

the reward gift value for 15 year or higher should be more valuable than we provide. "
Morale Analysis,Improve/Good,Be honest with coworkers
Reward & Recognition,Improve/Good,"Be more intentional about recognizing all the departments, not just those bringing in revenue or the ballpark operations staff.  
"
Morale Analysis,Improve,"Because of the fear based culture we work in, I feel stifled.  I cannot try anything new, be agile, or speak my perspective because I fear retaliation if it doesn't work perfectly.  I would love to see the organization commit to test-and-learns and a culture of curiosity.



"
Reward & Recognition,Improve/Good,Being in the MLB is recognition
Reward & Recognition,Improve/Good,"Benchmark other teams for payroll based on tenure, ensure annual cost of living increase."
Culture Analysis,Improve/Good,Better communication
Better Place to Work Analysis,Improve/Good,Better communication
Better Place to Work Analysis,Improve/Good,better communication between front office and bpo
Morale Analysis,Improve,Better communication from the higher ups. Within our department its fine but at the next level we are excluded and only take the blame when thigs don't go right.
Better Place to Work Analysis,Improve/Good,Better communication.
Culture Analysis,Improve/Good,"Better define what Reds Culture or the Reds Way, so players across the org know what is expected of them. Whether its through signs or some other posting. "
Morale Analysis,Improve/Good,Better incentives and or more food parties
Reward & Recognition,Improve/Good,Better knowledge of what coworkers are involved in outside the office and how they enjoy volunteering their time and talents in the community.
Better Place to Work Analysis,Improve/Good,Better pay
Better Place to Work Analysis,Improve/Good,Better pay and benefits.  Taking care of the employees who are here for the long term.  Provide better incentives for employees to want to stay.
Morale Analysis,Improve/Good,Better pay and benefits.  Work-life balance.  
Reward & Recognition,Improve,better rewards system 
Morale Analysis,Improve/Good,"Better travel benefits
Wellness incentivized programs
More team-issues apparel/gear
"
Morale Analysis,Improve/Good,"Beyond Mental Health Awareness Month, there should be resources available for staff on site (i.e., psychologist or mindfulness coach). Yoga is an excellent perk so far, but people may not have the ability to make a set time or feel uncomfortable doing Yoga with larger groups/other staff. 

Also, have a mandatory shadow day for seasonal and part-time staff of each full-time, salaried internal department/position. We want to ensure these employees know there is a pipeline for full-time roles and get feedback on next steps. This may even pique interest in positions that the interns or seasonal staff may not have known existed otherwise. We always want to promote growth and development for all of our staff. "
Better Place to Work Analysis,Improve/Good,"Bigger facilities to allow for adequate office spacing for all employees
New DR complex
Better travel benefits for employees that travel regularly"
Reward & Recognition,Improve/Good,Bonuses
Reward & Recognition,Very Good,BPO management are the best people I've ever worked 
Reward & Recognition,Very Good,"BPO management are the best people I've ever worked for 
I've been rewarded for every extra shift I've been called in for
I consider it a privilege to work and will do what needs to be done   "
Morale Analysis,Improve/Good,Breaks. There is a-lot of things going on constantly and easy to suffer from burnout. Little breaks or just pauses are so helpful to stay sharp and increase focus.
Better Place to Work Analysis,Improve/Good,"Bring more diversities of perspective to the table when organizational decisions are made
•	People of Color and women are underrepresented at our VP level
•	When decisions are made by executive leadership, only the perspectives of people in the room are considered. Resulting in policies that disproportionately affect underrepresented employees. While this may be unintentional, the effects can be quite demotivating.
•	The pipeline for amazing diverse talent at our organization isn't empty. When decisions are made that disproportionally affect them, they leave, as we have seen. 
•	It is imperative we are more intentional in our executive leadership decision making process. Creating opportunities for nondominant groups to stay and advance through the ranks and ultimately reach equitable leadership representation at our organizations highest level.
•	Seeking information and opinions from a variety of people takes time, and I know we move VERY quickly. However, taking time to think through organizational decisions and engage diverse perspectives will create a more inclusive, sustainable, and enjoyable place to work. 
"
Better Place to Work Analysis,Improve/Good,"Bring new employees around and introduce them to staff.  Face-to-face interaction is more memorable and impactful than scrolling through photos in the newsletter (although newsletter is helpful too).

Find fun ways to have staff interact with employees outside their own department to build camaraderie and inclusiveness. "
Culture Analysis,Improve/Good,By having the ability to work form home in certain situations would increase job satisfaction by people being able to catch up on things at home while also working. 
Reward & Recognition,Improve/Good,Cada encargado de cada departamento debe reconocer a sus empleados basado en el resultado de su hoja de desempeño y el testimonio que otros tienen acerca del real comportamiento de cada empleado.
Culture Analysis,Improve,"Can't do something without running it through the chain of command.   Trust your Directors to manage and direct their team.   Directors/Managers take time to develop and train your staff to do the job they were hired to do.   If it's not right at the top, it won't be right through to the bottom.    

Employees definitely feel the entitlement level within organization - ex:  employee ticket requests - why different levels? - what makes ""Director"" request different than ""Below Director"" request - aren't employee tickets based on availability?  Is a 2-year Director getting opportunity for better seats than a 18-year employee?  

Work/Home balance - again from the top - why is everyone a phone call away?    Off hours should be off hours - no interuptions.

"
Reward & Recognition,Improve/Good,"Celebrate excellence and achievements in real-time and put less emphasis on only praising when someone is leaving the organization.  One suggestion: present milestone jerseys in real-time as opposed to at sporadic luncheons that not everyone can attend; some anniversaries happen months before the staff member receives their jersey. Maybe host a monthly lunch for those celebrating their anniversary that month; this would be good for recognition but also interaction among a variety of staff. 

Eliminate or modify the ""birthday song""; it's stale and there's no enthusiasm from those who sing it, so it's just awkward and insincere for singers and recipient. "
Culture Analysis,Improve/Good,Clearly define roles/expectations. Constant communication amongst leadership and employees and follow through on performance review/empowering people in their roles
Better Place to Work Analysis,Improve/Good,"Come to company wide policy on working from home. Many departments do it ity appears.

The younger professionals expect it. 

Even if the policy is one-day a week when team is out of town."
Morale Analysis,Improve/Good,Communicate effectively an positively with fellow employees.
Better Place to Work Analysis,Improve/Good,Communication is the key. Hopefully allowing staff to give you input will lead us in a good direction. 
Culture Analysis,Improve/Good,"Communication
encourage team building
education for leaders, education for all members"
Better Place to Work Analysis,Improve/Good,"Compensation that is commensurate with amount of time spent on work that is justified by the skill set that your position provides to the organization. 

Performance bonuses that provide initiative to higher execution of services.

More internal promotions that indicate that staff is valued more than outside parties that are frequently brought in.

Adequate staffing that allows for creation of work/life balance.  Allows for staff that is in a better place mentally to provide for player needs. "
Better Place to Work Analysis,Improve/Good,Continuar con la libertad de expresion y comunicacion efectiva.
Morale Analysis,Improve/Good,"Continuar confiando cuando se hace una delegacion. (""Continue to trust when making a delegation."")"
Morale Analysis,Improve/Good,Continue receiving feedback from your superiors in regard to job performance. Feedback can provide help in possible adjustments to be made.
Morale Analysis,Improve/Good,Continue to activate players in community and show that impact to staff
Better Place to Work Analysis,Improve,Continue to allow employees to express opinions without fear of termination. 
Culture Analysis,Improve/Good,"Continue to build on diversity and inclusion initiatives in hiring at all levels. Its not just the right thing to do, it adds value to the organization. "
Better Place to Work Analysis,Improve/Good,"Continue to communicate at a high level
Improve medical benefits. "
Better Place to Work Analysis,Improve/Good,Continue to facilitate face to face communication. Helping people who are a part of the organization but don't always have points of contact due to location or responsibilities can be very powerful in making people feel connected with each other. Knowing and caring about each other goes a long way. 
Culture Analysis,Very Good,Continue to hold each other accountable - on the right path.
Better Place to Work Analysis,Improve/Good,"Continue to host appreciation events -- King's Island, Louisville Bats game, and other events are great for team building and recharging our batteries after a long homestand.  Continue to reward hard workers and compensate top performing employees accordingly."
Reward & Recognition,Improve/Good,Continue to offer discounts for brands like Lululemon
Morale Analysis,Improve/Good,"Continue to offer flexibility in the workplace, being open to new ideas, and acknowledgement of good work."
Morale Analysis,Improve/Good,Continue to put winning as a team as the goal we are striving for
Culture Analysis,Improve/Good,Continue to seek out and embrace tools to improve workplace efficiency. The Reds talk about an entrepreneurial spirit and have shown many positive results allowing employees to think outside the box.
Culture Analysis,Improve/Good,Continue with group outings and checking in on everyone.
Better Place to Work Analysis,Improve/Good,Continued communication letting us know whats going on within the organization.
Better Place to Work Analysis,Improve/Good,"CONTINUED FROM ABOVE: 3. CELEBRATE PROMOTIONS: The Reds do not celebrate tenure or promotions well. Many anniversaries have come and gone with zero recognition. For some people, who have dedicated a decade plus of their life to this organization, its hard! For those that make it that long, there should be better/consistent recognition. Additionally, when people are promoted, please do not say things like “Oh another REDS promotion – a title & no money!” Its not funny because its often true. It also diminishes the fact that the person promoted EARNED that promotion & probably deserved a raise along with it. We should be so thankful they choose to work here & not somewhere else. Promotions and raises should never be viewed as a gift or leadership “taking care of us”. Promotions and raises are earned through years of hard work and long hours from dedicated, great people."
Morale Analysis,Improve/Good,"CONTINUED FROM ABOVE: Love that we have access to the visiting team workout facility and dont take that for granted but something could be done to either improve it with more modern equipment or to create an employee specific facility for us to use that is open year round for use like many other companies have - another way to improve culture.
Also, not sure which question to address this in, but would love to see a more hard line policy of some sort put in place that keeps random people from walking through the 1st floor to use the bathroom, enter the ballpark, etc... I should not have to sit at my desk behind multiple keyed entry doors and have random people just walking through the office staring at me as I do my job. With all of the mass shootings and wild people in this world it is a bit uneasy knowing random people are gaining access to a private workspace without any real security.
Lastly, continue to look for ways to offer more competitive salaries. The company continues to have turnover from people in both lower and higher level positions due to the burnout referenced above but also largely because of the desire for increased wages. A lot of these people leaving are really good at their jobs and the constant transitions do make things difficult"
Morale Analysis,Improve,"CONTINUED FROM ABOVE:- The ability to work from home every once in a while would be wonderful.  I could do my job fully remote, but even working from home one day seems frowned upon.
- Don't pat yourself on the back for giving us holidays off (in Reds Total Rewards) when we don't get some standard federal holidays off, especially in the offseason (like President's Day). Those of us with kids have to take a PTO day, on a federal holiday to watch our kids.
- Don't pat yourself on the back for giving us Christmas to New Years off when literally 28 other teams already had that time off before we did, and MLB offices are closed that week.  
I've been here for a pretty long time, and I've never felt morale as low as this is right now.  Sure, the team isn't great, but there's a lot more to it.  Plus, I think the team will be very good in a year or two...so I'm optimistic about on-field things."
Morale Analysis,Improve/Good,Continuing with open dialogue. Continuing asking for feedback.
Culture Analysis,Improve/Good,Continuing with the good communication. Continuing with education to all personal.
Better Place to Work Analysis,Improve/Good,"Corporate Credit Cards used by Employees that have heavy travel that is used solely for hotels, and rental car fuel would help with doing expense reports. "
Better Place to Work Analysis,Improve/Good,"Create a coherent, positive message to deliver to the fans about the future of the franchise. Make the organization an industry leader in employee compensation and welfare."
Reward & Recognition,Improve/Good,Create a work environment where people can be recognized outside of the organization. Get leadership development opportunities. 
Morale Analysis,Improve/Good,Creative ways to keep office engaged when the team is out of town or in the offseason
Culture Analysis,Improve/Good,Cross department job shadow/ networking to help each department understand the unique challenges to each part of the organization 
Culture Analysis,Very Good,"Culture appears to be strong, all in Player Development + Health and Performance seem to be on the same page, collaborate, and push for our players to develop and improve. "
Culture Analysis,Very Good,Culture from team standpoint is solid. ACR
Culture Analysis,Improve,"Culture is much different across each department of the organization. I think the Reds do a good job of giving department heads the ability to create their own culture. That works really well in departments that have leaders that make culture a priority but does not work when department heads do not prioritize it.  

To strengthen our culture we have to build trust! The fact that many do not believe this is an anonymous is a huge red flag for the organizations health. We have a culture of putting things in writing so we have a track record if we need it and jumping down peoples throats when thigs don't go as planned.  This causes a culture of fear that has been created. 

 A lot of things have changed after covid in the work place as many companies are moving toward hybrid schedules which starts with trust and allows employees to get their work done in a way that they can accommodate their personal schedule. This type of work culture starts with trust and doesn't only judge you if you are here at 8:30 or earlier or 5:30 or later. If we don't adapt to be a more trusting culture we will continue to lose good people. 


To improve culture we need to improve trust and lessen fear. To do that we must hold all leadership responsible to seek feedback, then listen to the feedback without getting defensive. We need to promote/hire leaders who are passionate about growing others and continually working on improving themselves. 
"
Culture Analysis,Very Good,Culture is pretty solid overall
Culture Analysis,Improve/Good,Culture is the product of leadership. Strong leaders create culture.
Culture Analysis,Improve/Good,Culture within BPO is solid. Culture between BPO and Front office is not solid because no one knows what each other does. 
Reward & Recognition,Very Good,current implementation is fine
Better Place to Work Analysis,Improve/Good,"Cut down on all the different communication platforms. Centralize into 1 location, preferably Slack. 
Develop some type reward/benefit to staff throughout the season. An example would be to give full season affiliate staff a few days off during the season to recharge their batteries throughout the long season. "
Better Place to Work Analysis,Improve/Good,Cut down the number of platforms that information is spread over 
Culture Analysis,Improve,"Defining it would be a great start. Vague platitudes and buzzwords are not helpful. We've done workshops where we come up with some adjectives to describe ""Reds Culture"" but those don't turn into meaningful direction because they're too broad. This is a workplace, and establishing a culture means understanding the operational paradigm - the workshop resulted in ""strategic anchors"" of ""alignment"", ""exhaustive preparation"", and ""fearless execution"". But how are those executed?

Which departments need alignment? Internally or externally? What does that look like - is it wider-scale meetings across groups (at which levels?), more consistent/standardized processes, different methods of distributing information, stronger accountability for deviation...there are a lot of things it could mean.

Exhausting ourselves in preparation seems like a bad idea. Even if it's not, what happens when we are still unprepared - do we then have the bandwidth to adjust? How are we determining what to prepare for? How exhaustive is exhaustive? Does this mean we should be slower to pivot because we want to be more focused on accomplishing the goal we've identified and less on whether that's the right goal?

Not sure how fearful people are in execution, but if that exists at all it seems like a huge problem. So the last point is mostly just do your job? Or perhaps we need to make sure we're not creating a culture of fear? Which I agree with, but it'd be a little concerning if that needs to be said."
Morale Analysis,Improve/Good,Department Outings 
Better Place to Work Analysis,Improve/Good,"Department Response: 
Vacation Day for your birthday
Yoga - maybe move to the end of the day
More ways to get involved across multiple departments, how to get to know other people outside your department.
Happy Hours/Exercise Groups - After hour events
Food Trucks in the concourse"
